domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),model power flow,control mpupfc power,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),model power flow,power flow control,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),model power flow,design analysi model,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),model power flow,power system stabil,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,multimachin power system,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,optim iwo power,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,paper weed,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,paper weed optim,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,iwo power system,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,power system stabil,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,frequenc oscil,1,0.0,2018.0,,bac8d3b6-ea8a-4db1-bdad-dda277054ea6
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,power system frequenc,1,0.0,2018.0,,bac8d3b6-ea8a-4db1-bdad-dda277054ea6
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,system frequenc,1,0.0,2018.0,,bac8d3b6-ea8a-4db1-bdad-dda277054ea6
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,input output,1,0.0,2018.0,,bac8d3b6-ea8a-4db1-bdad-dda277054ea6
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,system frequenc oscil,1,0.0,2018.0,,bac8d3b6-ea8a-4db1-bdad-dda277054ea6
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,wind power,1,0.0,2018.0,,bac8d3b6-ea8a-4db1-bdad-dda277054ea6
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,oper power,1,0.0,2021.0,,cf88f0c1-9607-4d70-80df-ab43fba06a87
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,oscil lfo,1,0.0,2021.0,,cf88f0c1-9607-4d70-80df-ab43fba06a87
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,lfo concern,1,0.0,2021.0,,cf88f0c1-9607-4d70-80df-ab43fba06a87
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,oper power system,1,0.0,2021.0,,cf88f0c1-9607-4d70-80df-ab43fba06a87
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,oscil lfo concern,1,0.0,2021.0,,cf88f0c1-9607-4d70-80df-ab43fba06a87
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,concern oper power,1,0.0,2021.0,,cf88f0c1-9607-4d70-80df-ab43fba06a87
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),power system,lfo concern oper,1,0.0,2021.0,,cf88f0c1-9607-4d70-80df-ab43fba06a87
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),multimachin power system,optim iwo power,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),multimachin power system,paper weed,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),multimachin power system,paper weed optim,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),multimachin power system,power system,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),multimachin power system,iwo power system,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),multimachin power system,power system stabil,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),multimachin power system,stabil multimachin power,1,0.0,2012.0,,bf2c34c6-c6fa-486b-96bf-68848f1fc314
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),multimachin power system,power system tune,1,0.0,2012.0,,bf2c34c6-c6fa-486b-96bf-68848f1fc314
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),multimachin power system,particl swarm optim,1,0.0,2012.0,,bf2c34c6-c6fa-486b-96bf-68848f1fc314
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),multimachin power system,system stabil multimachin,1,0.0,2012.0,,bf2c34c6-c6fa-486b-96bf-68848f1fc314
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),iwo power system,multimachin power system,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),iwo power system,optim iwo power,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),iwo power system,paper weed,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),iwo power system,paper weed optim,1,0.0,2012.0,,7516b785-6eec-4f1a-9dac-3dd662dfb591
